presentedImage,participant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
boardwalk6.jpg,46781,-0.4135071,-0.4135071,-0.4135071,-0.1925491,2.260085,-0.4135071,-0.4135071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botanicalGarden4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botanicalGarden5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botanicalGarden6.jpg,46781,-0.5216138,-0.5216138,0.4492513,2.116606,-0.4794023,-0.5216138,-0.5216138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
botanicalGarden7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bowlingalley3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bowlingalley5.jpg,46781,-0.4047565,-0.4047565,-0.4047565,2.263493,-0.2397102,-0.4047565,-0.4047565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breakroom2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breakroom4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breakroom5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brewery2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brewery4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridalboutique2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridalboutique3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bus_shelter.jpg,46781,-0.4798794,-0.4798794,-0.4798794,0.2072207,2.192177,-0.4798794,-0.4798794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bus_shelter3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabin3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabin4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabinIndoors.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabinIndoors5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cafeteria1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cafeteria5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cafeteria6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campsite.jpg,46781,-0.6114115,-0.6114115,-0.6114115,-0.3365568,0.880657,1.901546,-0.6114115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campsite3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campsite6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campsite7.jpg,46781,-0.5356303,-0.5356303,-0.5356303,-0.292162,0.2678151,2.166868,-0.5356303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campusquad1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campusquad2.jpg,46781,-0.6139149,-0.6139149,-0.2532936,1.970538,0.7384151,-0.6139149,-0.6139149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campusquad3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campusquad4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cargo5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carmechanic.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carmechanic2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carmechanic4.jpeg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casino1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casino3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castle2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castle3.jpg,46781,-0.8415061,-0.8415061,-0.8415061,-0.3586747,0.5104218,1.765783,0.606988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castle4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cemetery.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cemetery3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cemetery5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cemetery6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkoutcounter2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkoutcounter9.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
church3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
church4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
church6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
church8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
churchInside1.jpg,46781,-0.3779644,-0.3779644,-0.3779644,2.267787,-0.3779644,-0.3779644,-0.3779644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
churchInside3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
churchInside4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citystreet10.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citystreet9.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classroom1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cliff2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cliff3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cliff5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
closet.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clothingstore2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clothingstore3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clothingstore5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conference3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conference4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constructionSite2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constructionSite4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copyroom2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cornfield2.jpg,46781,-0.4158353,-0.4158353,-0.4158353,-0.1798207,2.258997,-0.4158353,-0.4158353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cornfield4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courthouse1.jpg,46781,-0.3881564,-0.3881564,-0.3264042,2.267186,-0.3881564,-0.3881564,-0.3881564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courthouse2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courthouse4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtroom2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtroom3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubicle4.jpg,46781,-0.4766957,-0.4766957,2.211339,0.1257947,-0.4303503,-0.4766957,-0.4766957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cubicle7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dancestudio5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dancestudio6.jpg,46781,-0.3909581,-0.3909581,-0.3909581,2.266805,-0.3120146,-0.3909581,-0.3909581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deck1.jpg,46781,-0.5850697,-0.5850697,-0.5850697,1.532089,1.393259,-0.5850697,-0.5850697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deck2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deck4.jpg,46781,-0.3927754,-0.3927754,-0.3927754,2.266507,-0.3026302,-0.3927754,-0.3927754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deck5.jpg,46781,-0.6154249,-0.6154249,1.235936,1.663173,-0.4374094,-0.6154249,-0.6154249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dentist2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dentist4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desertvegetation2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desertvegetation3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desertvegetation6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diner10.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diner11.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diner12.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diner14.jpg,46781,-0.6246202,-0.6246202,-0.6246202,-0.2379505,0.8030831,1.933348,-0.6246202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dining_car.jpg,46781,-0.3958817,-0.3958817,-0.3958817,2.265902,-0.2864933,-0.3958817,-0.3958817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dining_car2.jpg,46781,-0.6203009,-0.6203009,-0.6203009,-0.4218046,1.265414,1.637594,-0.6203009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dining_car3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dining_car6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diningroom1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diningroom3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diningroom5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinosaur4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dock1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dock2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dock3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dock4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctor1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dormroom6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dormroom9.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driveway4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driveway6.jpg,46781,-0.4249313,-0.4249313,-0.4249313,-0.1293269,2.253983,-0.4249313,-0.4249313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driveway7.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
driveway8.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drycleaners4.jpg,46781,-0.5726185,-0.5726185,-0.5726185,1.069683,1.79341,-0.5726185,-0.5726185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drycleaners6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drymountains.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drymountains3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drymountains5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drymountains6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dugout1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dugout2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dugout4.jpg,46781,-0.389053,-0.389053,-0.389053,2.267075,-0.3218093,-0.389053,-0.389053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elevatorOutside1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elevatorOutside2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elevatorOutside4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exerciseequipment3.jpg,46781,-0.4110546,-0.4110546,-0.4110546,-0.2536978,2.264012,-0.3660955,-0.4110546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exerciseequipment5.jpg,46781,-0.5287958,-0.5287958,0.4651445,2.110287,-0.4602482,-0.5287958,-0.5287958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyeglassstore9.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabricstore1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabricstore2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factory1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm1.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farm4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmersmarket4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fireplace4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firestation2.jpg,46781,-0.5464886,-0.5464886,2.05191,0.6083552,-0.4743108,-0.5464886,-0.5464886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firestation3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firestation4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firestation5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fittingroom2.jpg,46781,-0.6913566,-0.6913566,-0.6913566,-0.02537087,1.706192,1.084605,-0.6913566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fittingroom5.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flowershop.jpg,46781,-0.7160846,-0.7160846,-0.7160846,-0.3971014,1.015538,1.790211,-0.2603944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flowershop3.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foodcourt.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foodcourt6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forestpath10.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forestpath2.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forestpath4.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forestpath6.jpg,46781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
